IP,Session_ID,Time,Student_ID,Subject,Date,Issue raised,Raised by (Student /Proctor),Time spent by proctor(minutes),time spent by student(minutes),Issue resolved or not,Camera visibility,Total session time,ADS
10.131.1.15,234768A8976N1170,2020-10-11 14:00:16,2019mc22000,ADVANCED STATISTICAL METHODS,11-10-2020 (AN),2,Student,2020-10-11 00:03:33,2020-10-11 00:03:27,Y,2020-10-11 01:45:55,2020-10-11 01:56:50,24
10.113.1.215,234768A8976N1170,2020-10-11 15:02:12,2019mc22000,ADVANCED STATISTICAL METHODS,11-10-2020 (AN),2,Student,2020-10-11 00:03:33,2020-10-11 00:03:27,Y,2020-10-11 01:45:55,2020-10-11 01:56:50,23
10.131.1.5,234768A8976N1030,2020-10-17 10:00:37,2019mc21948,DESIGN AND OPERATIONS OF DATA CENTRES,17-10-2020 (FN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 01:59:05,2020-10-17 01:59:05,20
10.131.1.155,234768A8976N1164,2020-10-17 14:00:06,2019mc22006,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 01:57:29,2020-10-17 01:57:29,23
10.131.1.212,234768A8976N1101,2020-10-17 14:01:55,2019mc22005,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 01:59:46,2020-10-17 01:59:46,21
10.131.1.42,234768A8976N1038,2020-10-17 14:00:33,2019mc22004,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),5,Student,2020-10-17 00:04:16,2020-10-17 00:01:04,Y,2020-10-17 01:59:46,2020-10-17 01:59:46,25
10.133.10.25,234456GA8976N119,2020-10-17 14:00:37,2019mc22003,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),8,Proctor,2020-10-17 00:00:58,2020-10-17 00:03:20,Y,2020-10-17 01:56:11,2020-10-17 01:56:11,21
10.131.1.148,234768A8976N1172,2020-10-17 14:01:40,2019mc21998,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 01:59:28,2020-10-17 01:59:28,22
10.131.1.205,234768A8976N1109,2020-10-17 14:01:53,2019mc21997,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 01:56:15,2020-10-17 01:56:15,22
10.131.1.34,234768A8976N1046,2020-10-17 14:01:28,2019mc21996,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 02:00:00,2020-10-17 02:00:00,24
10.131.1.92,234456GA8976N127,2020-10-17 14:01:29,2019mc21995,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),5,Student,2020-10-17 00:04:06,2020-10-17 00:04:52,Y,2020-10-17 01:56:10,2020-10-17 01:56:10,23
10.131.1.140,234768A8976N1180,2020-10-17 14:00:18,2019mc21990,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 01:55:32,2020-10-17 01:55:32,23
10.131.1.207,234768A8976N1107,2020-10-11 14:00:39,2019mc21999,ADVANCED STATISTICAL METHODS,11-10-2020 (AN),1,Student,2020-10-11 00:04:36,2020-10-11 00:03:56,Y,2020-10-11 01:55:00,2020-10-11 01:57:48,22
10.113.1.231,234768A8976N1107,2020-10-11 14:00:39,2019mc21999,ADVANCED STATISTICAL METHODS,11-10-2020 (AN),1,Student,2020-10-11 00:04:36,2020-10-11 00:03:56,Y,2020-10-11 01:55:00,2020-10-11 01:57:48,22
10.131.1.26,234768A8976N1054,2020-10-17 14:01:14,2019mc21988,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),3,Student,2020-10-17 00:04:49,2020-10-17 00:00:50,Y,2020-10-17 01:59:17,2020-10-17 01:59:17,21
10.131.1.85,234456GA8976N135,2020-10-17 14:00:52,2019mc21987,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),6,Proctor,2020-10-17 00:00:23,2020-10-17 00:01:14,Y,2020-10-17 01:45:42,2020-10-17 01:58:12,25
10.131.1.235,234768A8976N1076,2020-10-11 14:01:28,2019mc21966,ADVANCED STATISTICAL METHODS,11-10-2020 (AN),2,Student,2020-10-11 00:04:50,2020-10-11 00:04:24,Y,2020-10-11 01:43:34,2020-10-11 01:55:17,21
10.113.1.202,234768A8976N1076,2020-10-11 14:41:38,2019mc21966,ADVANCED STATISTICAL METHODS,11-10-2020 (AN),2,Student,2020-10-11 00:04:50,2020-10-11 00:04:24,Y,2020-10-11 01:43:34,2020-10-11 01:55:17,23
10.131.1.190,234768A8976N1125,2020-10-17 14:00:53,2019mc21981,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),6,Proctor,2020-10-17 00:00:06,2020-10-17 00:01:35,Y,2020-10-17 01:45:58,2020-10-17 01:58:42,24
10.131.1.248,234768A8976N1062,2020-10-17 14:01:01,2019mc21980,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),7,Proctor,2020-10-17 00:02:40,2020-10-17 00:04:41,Y,2020-10-17 01:58:45,2020-10-17 01:58:45,53
10.131.1.78,234456GA8976N143,2020-10-17 14:00:21,2019mc21979,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),6,Proctor,2020-10-17 00:02:29,2020-10-17 00:03:00,Y,2020-10-17 01:43:31,2020-10-17 01:59:32,20
10.131.1.126,234768A8976N1196,2020-10-17 14:01:10,2019mc21974,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),6,Proctor,2020-10-17 00:01:10,2020-10-17 00:01:54,Y,2020-10-17 01:53:22,2020-10-17 01:55:39,23
10.131.1.183,234768A8976N1133,2020-10-17 14:01:04,2019mc21973,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),6,Proctor,2020-10-17 00:01:46,2020-10-17 00:03:52,Y,2020-10-17 01:45:01,2020-10-17 01:59:51,23
10.131.1.240,234768A8976N1070,2020-10-17 14:00:04,2019mc21972,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),3,Student,2020-10-17 00:02:18,2020-10-17 00:03:59,Y,2020-10-17 01:59:43,2020-10-17 01:59:43,22
10.131.1.70,234768A8976N1001,2020-10-17 14:01:11,2019mc21971,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),6,Proctor,2020-10-17 00:04:39,2020-10-17 00:04:36,Y,2020-10-17 01:48:16,2020-10-17 01:57:33,21
10.131.1.119,234768A8976N1204,2020-10-17 14:00:53,2019mc21966,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),4,Student,2020-10-17 00:02:28,2020-10-17 00:02:53,Y,2020-10-17 01:58:52,2020-10-17 01:58:52,23
10.131.1.176,234768A8976N1141,2020-10-17 14:00:53,2019mc21965,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),6,Proctor,2020-10-17 00:00:40,2020-10-17 00:03:18,Y,2020-10-17 01:51:24,2020-10-17 01:57:39,24
10.131.1.233,234768A8976N1078,2020-10-17 14:01:29,2019mc21964,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),5,Student,2020-10-17 00:04:16,2020-10-17 00:00:32,Y,2020-10-17 01:58:27,2020-10-17 01:58:27,20
10.131.1.63,234768A8976N1015,2020-10-17 14:01:19,2019mc21963,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),7,Proctor,2020-10-17 00:02:57,2020-10-17 00:04:53,Y,2020-10-17 01:59:15,2020-10-17 01:59:15,61
10.131.1.111,234768A8976N1212,2020-10-17 14:01:54,2019mc21958,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),8,Proctor,2020-10-17 00:00:59,2020-10-17 00:01:04,Y,2020-10-17 01:59:21,2020-10-17 01:59:21,23
10.131.1.169,234768A8976N1149,2020-10-17 14:00:14,2019mc21957,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),8,Proctor,2020-10-17 00:00:51,2020-10-17 00:00:47,Y,2020-10-17 01:57:48,2020-10-17 01:57:48,21
10.131.1.226,234768A8976N1086,2020-10-17 14:01:31,2019mc21956,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 01:56:55,2020-10-17 01:56:55,23
10.131.1.56,234768A8976N1023,2020-10-17 14:01:29,2019mc21955,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),8,Proctor,2020-10-17 00:04:39,2020-10-17 00:04:31,Y,2020-10-17 01:58:55,2020-10-17 01:58:55,23
10.131.1.104,234768A8976N1220,2020-10-17 14:00:42,2019mc21950,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),4,Student,2020-10-17 00:02:16,2020-10-17 00:02:34,Y,2020-10-17 02:00:00,2020-10-17 02:00:00,25
10.131.1.161,234768A8976N1157,2020-10-17 14:01:05,2019mc21949,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),3,Student,2020-10-17 00:04:16,2020-10-17 00:04:50,Y,2020-10-17 01:55:23,2020-10-17 01:55:23,24
10.131.1.219,234768A8976N1094,2020-10-17 14:01:17,2019mc21948,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 01:58:01,2020-10-17 01:58:01,21
10.131.1.49,234768A8976N1031,2020-10-17 14:00:36,2019mc21947,INFRASTRUCTURE MANAGEMENT,17-10-2020 (AN),0,Null,2020-10-17 00:00:00,2020-10-17 00:00:00,null,2020-10-17 01:59:21,2020-10-17 01:59:21,25
10.130.1.196,234768A8976N1421,2020-03-15 10:01:32,2019mc22005,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),6,Proctor,2020-03-15 00:03:52,2020-03-15 00:04:38,Y,2020-03-15 01:42:16,2020-03-15 02:00:00,21
10.130.1.253,234768A8976N1358,2020-03-15 10:00:19,2019mc22004,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),5,Student,2020-03-15 00:03:52,2020-03-15 00:01:16,N,2020-03-15 02:00:00,2020-03-15 02:00:00,21
10.130.1.86,234768A8976N1295,2020-03-15 10:01:01,2019mc22003,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:55:15,2020-03-15 01:55:15,22
10.130.2.70,234768A8976N1232,2020-03-15 10:00:18,2019mc22002,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),8,Proctor,2020-03-15 00:03:43,2020-03-15 00:03:59,Y,2020-03-15 01:59:45,2020-03-15 01:59:45,25
10.130.1.189,234768A8976N1429,2020-03-15 10:00:48,2019mc21997,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),6,Proctor,2020-03-15 00:01:40,2020-03-15 00:03:13,Y,2020-03-15 01:53:15,2020-03-15 01:59:28,20
10.130.1.246,234768A8976N1366,2020-03-15 10:00:50,2019mc21996,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),5,Student,2020-03-15 00:01:26,2020-03-15 00:02:06,N,2020-03-15 01:59:27,2020-03-15 01:59:27,21
10.130.1.78,234768A8976N1303,2020-03-15 10:00:54,2019mc21995,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:58:26,2020-03-15 01:58:26,21
10.130.2.62,234768A8976N1240,2020-03-15 10:00:09,2019mc21994,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),6,Proctor,2020-03-15 00:00:45,2020-03-15 00:01:36,Y,2020-03-15 01:53:57,2020-03-15 01:59:18,21
10.130.1.181,234768A8976N1437,2020-03-15 10:01:26,2019mc21989,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),7,Proctor,2020-03-15 00:03:27,2020-03-15 00:01:22,Y,2020-03-15 02:00:00,2020-03-15 02:00:00,54
10.131.1.50,234768A8976N1029,2020-10-11 14:00:43,2019mc21949,ADVANCED STATISTICAL METHODS,11-10-2020 (AN),1,Student,2020-10-11 00:04:48,2020-10-11 00:03:42,Y,2020-10-11 01:57:34,2020-10-11 01:59:53,22
10.113.1.50,234768A8976N1029,2020-10-11 14:00:43,2019mc21949,ADVANCED STATISTICAL METHODS,11-10-2020 (AN),1,Student,2020-10-11 00:04:48,2020-10-11 00:03:42,Y,2020-10-11 01:57:34,2020-10-11 01:59:53,22
10.130.1.70,234768A8976N1311,2020-03-15 10:01:07,2019mc21987,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),5,Student,2020-03-15 00:03:46,2020-03-15 00:00:29,N,2020-03-15 01:57:34,2020-03-15 01:57:34,21
10.130.2.54,234768A8976N1248,2020-03-15 10:01:43,2019mc21986,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:58:26,2020-03-15 01:58:26,20
10.130.1.174,234768A8976N1445,2020-03-15 10:01:02,2019mc21981,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),6,Proctor,2020-03-15 00:02:03,2020-03-15 00:03:17,Y,2020-03-15 01:51:50,2020-03-15 01:58:11,22
10.131.1.38,234768A8976N1042,2020-10-10 14:01:10,2019mc22000,ADVANCED FINANCIAL MODELLING,10-10-2020 (AN),1,Student,2020-10-10 00:02:38,2020-10-10 00:03:35,Y,2020-10-10 01:56:57,2020-10-10 01:57:59,20
10.113.1.65,234768A8976N1042,2020-10-10 14:01:10,2019mc22000,ADVANCED FINANCIAL MODELLING,10-10-2020 (AN),1,Student,2020-10-10 00:02:38,2020-10-10 00:03:35,Y,2020-10-10 01:56:57,2020-10-10 01:57:59,20
10.130.1.62,234768A8976N1319,2020-03-15 10:00:47,2019mc21979,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),5,Student,2020-03-15 00:03:56,2020-03-15 00:02:01,N,2020-03-15 01:55:38,2020-03-15 01:55:38,23
10.130.2.46,234768A8976N1256,2020-03-15 10:00:27,2019mc21978,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:56:53,2020-03-15 01:56:53,24
10.130.1.167,234768A8976N1453,2020-03-15 10:00:26,2019mc21973,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),6,Proctor,2020-03-15 00:02:10,2020-03-15 00:01:29,Y,2020-03-15 01:51:56,2020-03-15 01:58:33,21
10.130.1.224,234768A8976N1390,2020-03-15 10:00:26,2019mc21972,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),3,Student,2020-03-15 00:03:40,2020-03-15 00:02:49,Y,2020-03-15 02:00:00,2020-03-15 02:00:00,24
10.130.1.54,234768A8976N1327,2020-03-15 10:01:33,2019mc21971,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),8,Proctor,2020-03-15 00:04:17,2020-03-15 00:03:57,Y,2020-03-15 01:55:07,2020-03-15 01:55:07,24
10.130.2.38,234768A8976N1264,2020-03-15 10:01:58,2019mc21970,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 02:00:00,2020-03-15 02:00:00,22
10.130.1.16,234768A8976N1461,2020-03-15 10:01:55,2019mc21965,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),6,Proctor,2020-03-15 00:04:05,2020-03-15 00:01:24,Y,2020-03-15 01:48:30,2020-03-15 01:59:58,22
10.130.1.217,234768A8976N1398,2020-03-15 10:01:16,2019mc21964,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:59:09,2020-03-15 01:59:09,22
10.131.1.108,234768A8976N1216,2020-10-10 14:00:09,2019mc21954,ADVANCED FINANCIAL MODELLING,10-10-2020 (AN),1,Student,2020-10-10 00:02:26,2020-10-10 00:03:17,Y,2020-10-10 01:53:54,2020-10-10 01:55:50,23
10.113.1.123,234768A8976N1216,2020-10-10 14:00:09,2019mc21954,ADVANCED FINANCIAL MODELLING,10-10-2020 (AN),1,Student,2020-10-10 00:02:26,2020-10-10 00:03:17,Y,2020-10-10 01:53:54,2020-10-10 01:55:50,23
10.130.2.30,234768A8976N1272,2020-03-15 10:01:12,2019mc21962,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),4,Student,2020-03-15 00:03:45,2020-03-15 00:01:56,N,2020-03-15 01:58:26,2020-03-15 01:58:26,20
10.130.1.152,234768A8976N1469,2020-03-15 10:01:24,2019mc21957,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:58:28,2020-03-15 01:58:28,21
10.130.1.21,234768A8976N1406,2020-03-15 10:00:24,2019mc21956,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 02:00:00,2020-03-15 02:00:00,23
10.130.1.38,234768A8976N1343,2020-03-15 10:00:04,2019mc21955,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),6,Proctor,2020-03-15 00:01:47,2020-03-15 00:02:35,Y,2020-03-15 01:48:28,2020-03-15 01:56:43,25
10.130.2.57,234768A8976N1245,2020-03-08 14:01:32,2019mc21989,MECHANICAL TECHNOLOGY,08-03-2020 (AN),1,Student,2020-03-08 00:02:49,2020-03-08 00:04:51,Y,2020-03-08 01:56:56,2020-03-08 01:58:33,20
10.113.1.254,234768A8976N1245,2020-03-08 14:01:32,2019mc21989,MECHANICAL TECHNOLOGY,08-03-2020 (AN),1,Student,2020-03-08 00:02:49,2020-03-08 00:04:51,Y,2020-03-08 01:56:56,2020-03-08 01:58:33,20
10.130.2.44,234768A8976N1258,2020-03-07 10:00:03,2019mc21976,ENVIRONMENTAL CHEMISTRY  ,07-03-2020 (FN),2,Student,2020-03-07 00:04:32,2020-03-07 00:01:36,N,2020-03-07 01:43:15,2020-03-07 01:59:21,25
10.131.1.21,NULL,2020-03-07 00:00:00,2019mc21976,ENVIRONMENTAL CHEMISTRY  ,07-03-2020 (FN),2,Student,2020-03-07 00:04:32,2020-03-07 00:01:36,N,2020-03-07 01:43:15,2020-03-07 01:59:21,NULL
10.130.1.145,234768A8976N1477,2020-03-15 10:00:36,2019mc21949,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),7,Proctor,2020-03-15 00:04:08,2020-03-15 00:04:24,N,2020-03-15 01:58:19,2020-03-15 01:58:19,62
10.130.1.202,234768A8976N1414,2020-03-15 10:00:33,2019mc21948,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),5,Student,2020-03-15 00:02:52,2020-03-15 00:02:35,N,2020-03-15 02:00:00,2020-03-15 02:00:00,20
10.130.1.30,234768A8976N1351,2020-03-15 10:01:59,2019mc21947,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:58:02,2020-03-15 01:58:02,22
10.130.1.93,234768A8976N1288,2020-03-15 10:01:12,2019mc21946,ADVANCED DRIVER ASSISTANCE SYSTEMS,15-03-2020 (FN),3,Student,2020-03-15 00:05:00,2020-03-15 00:04:18,Y,2020-03-15 01:55:23,2020-03-15 01:55:23,22
10.130.1.195,234768A8976N1422,2020-03-15 14:01:52,2019mc22004,MATERIALS MANAGEMENT,15-03-2020 (AN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 02:00:00,2020-03-15 02:00:00,23
10.130.1.252,234768A8976N1359,2020-03-15 14:01:53,2019mc22003,MATERIALS MANAGEMENT,15-03-2020 (AN),8,Proctor,2020-03-15 00:03:02,2020-03-15 00:02:11,Y,2020-03-15 01:59:09,2020-03-15 01:59:09,23
10.130.1.85,234768A8976N1296,2020-03-15 14:00:03,2019mc22002,MATERIALS MANAGEMENT,15-03-2020 (AN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:55:41,2020-03-15 01:55:41,23
10.130.2.69,234768A8976N1233,2020-03-15 14:01:12,2019mc22001,MATERIALS MANAGEMENT,15-03-2020 (AN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:55:48,2020-03-15 01:55:48,25
10.130.1.188,234768A8976N1430,2020-03-15 14:00:04,2019mc21996,MATERIALS MANAGEMENT,15-03-2020 (AN),8,Proctor,2020-03-15 00:00:26,2020-03-15 00:03:02,Y,2020-03-15 01:58:27,2020-03-15 01:58:27,24
10.130.1.245,234768A8976N1367,2020-03-15 14:00:06,2019mc21995,MATERIALS MANAGEMENT,15-03-2020 (AN),5,Student,2020-03-15 00:00:58,2020-03-15 00:03:07,Y,2020-03-15 01:58:19,2020-03-15 01:58:19,24
10.130.1.77,234768A8976N1304,2020-03-15 14:01:42,2019mc21994,MATERIALS MANAGEMENT,15-03-2020 (AN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:57:11,2020-03-15 01:57:11,22
10.130.1.215,234768A8976N1400,2020-03-07 10:00:22,2019mc21962,ENVIRONMENTAL CHEMISTRY  ,07-03-2020 (FN),1,Student,2020-03-07 00:04:58,2020-03-07 00:04:01,Y,2020-03-07 01:58:30,2020-03-07 01:59:58,22
10.131.2.222,234768A8976N1400,2020-03-07 10:00:22,2019mc21962,ENVIRONMENTAL CHEMISTRY  ,07-03-2020 (FN),1,Student,2020-03-07 00:04:58,2020-03-07 00:04:01,Y,2020-03-07 01:58:30,2020-03-07 01:59:58,22
10.130.1.91,234768A8976N1290,2020-03-07 14:01:22,2019mc22008,OPTICAL COMMUNICATION,07-03-2020 (AN),1,Student,2020-03-07 00:04:26,2020-03-07 00:00:49,Y,2020-03-07 01:57:16,2020-03-07 02:00:00,24
10.113.0.116,234768A8976N1290,2020-03-07 14:01:22,2019mc22008,OPTICAL COMMUNICATION,07-03-2020 (AN),1,Student,2020-03-07 00:04:26,2020-03-07 00:00:49,Y,2020-03-07 01:57:16,2020-03-07 02:00:00,24
10.130.1.238,234768A8976N1375,2020-03-15 14:01:24,2019mc21987,MATERIALS MANAGEMENT,15-03-2020 (AN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:57:45,2020-03-15 01:57:45,23
10.130.1.69,234768A8976N1312,2020-03-15 14:00:50,2019mc21986,MATERIALS MANAGEMENT,15-03-2020 (AN),5,Student,2020-03-15 00:04:27,2020-03-15 00:00:37,Y,2020-03-15 01:57:44,2020-03-15 01:57:44,22
10.130.2.53,234768A8976N1249,2020-03-15 14:00:05,2019mc21985,MATERIALS MANAGEMENT,15-03-2020 (AN),6,Proctor,2020-03-15 00:04:54,2020-03-15 00:04:23,Y,2020-03-15 01:45:38,2020-03-15 01:58:47,24
10.131.1.14,234768A8976N1181,2020-10-18 10:01:05,2019mc21989,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),2,Student,2020-10-18 00:00:00,2020-10-18 00:03:00,Y,2020-10-18 01:58:39,2020-10-18 01:58:39,24
10.131.1.14,234768A8976N1181,2020-10-18 10:01:05,2019mc21989,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),2,Student,2020-10-18 00:00:00,2020-10-18 00:03:00,Y,2020-10-18 01:58:39,2020-10-18 01:58:39,24
10.130.1.230,234768A8976N1383,2020-03-15 14:01:27,2019mc21979,MATERIALS MANAGEMENT,15-03-2020 (AN),6,Proctor,2020-03-15 00:03:00,2020-03-15 00:02:56,Y,2020-03-15 01:41:04,2020-03-15 01:57:39,20
10.130.1.61,234768A8976N1320,2020-03-15 14:01:30,2019mc21978,MATERIALS MANAGEMENT,15-03-2020 (AN),6,Proctor,2020-03-15 00:00:47,2020-03-15 00:03:32,Y,2020-03-15 01:51:46,2020-03-15 01:55:19,23
10.130.2.45,234768A8976N1257,2020-03-15 14:00:54,2019mc21977,MATERIALS MANAGEMENT,15-03-2020 (AN),6,Proctor,2020-03-15 00:04:43,2020-03-15 00:01:51,Y,2020-03-15 01:45:46,2020-03-15 01:56:48,22
10.130.1.166,234768A8976N1454,2020-03-15 14:01:45,2019mc21972,MATERIALS MANAGEMENT,15-03-2020 (AN),7,Proctor,2020-03-15 00:04:04,2020-03-15 00:00:40,Y,2020-03-15 01:56:44,2020-03-15 01:56:44,62
10.130.1.223,234768A8976N1391,2020-03-15 14:00:40,2019mc21971,MATERIALS MANAGEMENT,15-03-2020 (AN),6,Proctor,2020-03-15 00:03:23,2020-03-15 00:00:27,Y,2020-03-15 01:40:05,2020-03-15 01:55:16,24
10.130.1.53,234768A8976N1328,2020-03-15 14:00:05,2019mc21970,MATERIALS MANAGEMENT,15-03-2020 (AN),6,Proctor,2020-03-15 00:03:27,2020-03-15 00:02:43,Y,2020-03-15 01:51:12,2020-03-15 01:59:57,25
10.131.1.182,234768A8976N1134,2020-10-18 10:00:08,2019mc21972,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),1,Student,2020-10-18 00:00:00,2020-10-18 00:01:55,Y,2020-10-18 02:00:00,2020-10-18 02:00:00,22
10.131.1.182,234768A8976N1134,2020-10-18 10:00:08,2019mc21972,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),1,Student,2020-10-18 00:00:00,2020-10-18 00:01:55,Y,2020-10-18 02:00:00,2020-10-18 02:00:00,22
10.130.1.159,234768A8976N1462,2020-03-15 14:00:19,2019mc21964,MATERIALS MANAGEMENT,15-03-2020 (AN),6,Proctor,2020-03-15 00:03:02,2020-03-15 00:03:52,Y,2020-03-15 01:46:01,2020-03-15 01:59:34,22
10.130.1.216,234768A8976N1399,2020-03-15 14:01:13,2019mc21963,MATERIALS MANAGEMENT,15-03-2020 (AN),3,Student,2020-03-15 00:04:45,2020-03-15 00:02:32,Y,2020-03-15 01:56:46,2020-03-15 01:56:46,20
10.131.1.62,234768A8976N1016,2020-10-18 10:00:58,2019mc21962,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),2,Student,2020-10-18 00:03:47,2020-10-18 00:01:57,N,2020-10-18 01:41:04,2020-10-18 02:00:00,24
10.101.2.156,NULL,2020-10-18 00:00:00,2019mc21962,NETWORK EMBEDDED APPLICATIONS,18-10-2020 (FN),2,Student,2020-10-18 00:03:47,2020-10-18 00:01:57,N,2020-10-18 01:41:04,2020-10-18 02:00:00,NULL
10.131.1.124,234768A8976N1198,2020-10-18 14:00:14,2019mc21972,FINITE ELEMENT METHODS,18-10-2020 (AN),1,Student,2020-10-18 00:03:36,2020-10-18 00:03:26,Y,2020-10-18 01:56:44,2020-10-18 01:56:44,23
10.131.1.124,234768A8976N1198,2020-10-18 14:00:14,2019mc21972,FINITE ELEMENT METHODS,18-10-2020 (AN),1,Student,2020-10-18 00:03:36,2020-10-18 00:03:26,Y,2020-10-18 01:56:44,2020-10-18 01:56:44,23
10.130.1.151,234768A8976N1470,2020-03-15 14:01:40,2019mc21956,MATERIALS MANAGEMENT,15-03-2020 (AN),0,Null,2020-03-15 00:00:00,2020-03-15 00:00:00,null,2020-03-15 01:59:55,2020-03-15 01:59:55,22
